fold_id,held_out_episode_id,attack_type,target,target_col,n_train,n_test,test_attack_windows,test_benign_windows,accuracy,precision,recall,f1,fpr,roc_auc,pr_auc,tp,fp,tn,fn
20,21-02-2018_DDOS-LOIC-UDP_1,DDOS-LOIC-UDP,detection,label_binary,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
21,21-02-2018_DDOS-LOIC-UDP_10,DDOS-LOIC-UDP,detection,label_binary,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
22,21-02-2018_DDOS-LOIC-UDP_11,DDOS-LOIC-UDP,detection,label_binary,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
23,21-02-2018_DDOS-LOIC-UDP_12,DDOS-LOIC-UDP,detection,label_binary,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
24,21-02-2018_DDOS-LOIC-UDP_13,DDOS-LOIC-UDP,detection,label_binary,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
25,21-02-2018_DDOS-LOIC-UDP_14,DDOS-LOIC-UDP,detection,label_binary,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
26,21-02-2018_DDOS-LOIC-UDP_15,DDOS-LOIC-UDP,detection,label_binary,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
27,21-02-2018_DDOS-LOIC-UDP_16,DDOS-LOIC-UDP,detection,label_binary,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
28,21-02-2018_DDOS-LOIC-UDP_17,DDOS-LOIC-UDP,detection,label_binary,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
29,21-02-2018_DDOS-LOIC-UDP_2,DDOS-LOIC-UDP,detection,label_binary,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
30,21-02-2018_DDOS-LOIC-UDP_3,DDOS-LOIC-UDP,detection,label_binary,2601,7,2,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2,0,5,0
31,21-02-2018_DDOS-LOIC-UDP_4,DDOS-LOIC-UDP,detection,label_binary,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
32,21-02-2018_DDOS-LOIC-UDP_5,DDOS-LOIC-UDP,detection,label_binary,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
33,21-02-2018_DDOS-LOIC-UDP_6,DDOS-LOIC-UDP,detection,label_binary,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
34,21-02-2018_DDOS-LOIC-UDP_7,DDOS-LOIC-UDP,detection,label_binary,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
35,21-02-2018_DDOS-LOIC-UDP_8,DDOS-LOIC-UDP,detection,label_binary,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
36,21-02-2018_DDOS-LOIC-UDP_9,DDOS-LOIC-UDP,detection,label_binary,2601,6,1,5,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,0,5,0
